Team;GP;W;L;OT;P;ROW;HROW;RROW;P%;G/GP;GA/GP;5-5 F/A;PP%;PK%;S/GP;SA/GP;Sc 1%;Tr 1st%;Ld 1%;Ld 2%;OS%;OSB%;FO%
ANAHEIM;28;17;6;5;39;13;7;6;.696;2.75;2.61;1.06;16.3;82.4;30.5;29.5;.750;.417;.800;.833;.700;.556;51.5
ARIZONA;27;10;14;3;23;8;4;4;.426;2.30;3.11;0.72;20.2;77.3;28.4;31.0;.500;.294;.500;.714;.444;.375;52.5
BOSTON;27;14;12;1;29;12;9;3;.537;2.41;2.59;1.00;17.2;78.6;29.8;29.6;.583;.467;.667;.889;.692;.308;52.1
BUFFALO;26;9;15;2;20;5;3;2;.385;1.58;3.12;0.62;6.8;77.9;22.8;36.1;.727;.067;1.000;.833;1.000;.318;41.8
CALGARY;27;17;8;2;36;14;6;8;.667;3.11;2.52;1.15;22.0;75.8;26.6;29.0;.786;.462;1.000;1.000;.600;.667;46.2
CAROLINA;25;8;14;3;19;8;5;3;.380;2.28;2.76;0.75;21.5;83.8;29.4;28.6;.600;.133;.800;.750;.417;.167;52.4
CHICAGO;26;17;8;1;35;14;8;6;.673;3.04;2.00;1.39;18.7;91.0;36.0;28.5;.824;.333;.909;1.000;.684;.571;52.2
COLORADO;27;9;12;6;24;7;4;3;.444;2.59;3.22;0.84;13.6;86.3;29.6;33.7;.444;.278;.333;.429;.600;.188;48.5
COLUMBUS;25;8;15;2;18;7;4;3;.360;2.28;3.44;0.60;21.7;75.8;28.7;33.8;.636;.071;.667;.625;.250;.375;48.2
DALLAS;26;9;12;5;23;8;4;4;.442;2.85;3.58;0.90;14.3;78.7;29.5;32.6;.385;.308;.500;.625;.100;.385;50.0
DETROIT;26;15;6;5;35;14;10;4;.673;3.12;2.46;1.19;23.1;85.6;30.8;26.8;.692;.462;.875;.909;.706;.375;54.1
EDMONTON;26;6;15;5;17;6;4;2;.327;2.23;3.42;0.66;12.4;80.5;29.6;29.8;.444;.118;.333;.667;.167;.286;50.5
FLORIDA;24;10;7;7;27;9;5;4;.563;2.17;2.42;1.05;15.6;80.5;30.8;30.8;.583;.250;.714;.875;.333;.500;49.9
LOS ANGELES;26;14;7;5;33;13;10;3;.635;2.69;2.08;1.30;17.6;84.6;30.3;31.2;.786;.250;.800;.917;.667;.500;51.5
MINNESOTA;25;14;10;1;29;13;7;6;.580;2.80;2.40;1.04;11.0;89.5;32.8;25.3;.786;.273;1.000;.750;.524;1.000;49.2
MONTREAL;28;17;9;2;36;13;9;4;.643;2.46;2.54;1.02;14.9;84.8;28.5;30.5;1.000;.421;1.000;.909;.545;.600;55.4
NASHVILLE;25;17;6;2;36;14;8;6;.720;2.64;2.00;1.64;11.7;79.1;31.0;27.6;.818;.571;.800;.909;.786;.545;48.0
NEW JERSEY;26;10;12;4;24;9;2;7;.462;2.38;2.77;1.00;21.2;74.8;26.5;30.3;.500;.250;.500;.667;.143;.474;47.0
NY ISLANDERS;27;19;8;0;38;14;8;6;.704;3.00;2.74;1.16;20.2;72.5;32.3;28.5;.647;.800;.600;.889;.824;.500;47.9
NY RANGERS;24;11;9;4;26;10;7;3;.542;2.92;2.75;1.18;17.3;80.0;30.6;29.1;.692;.182;.750;.857;.400;.500;46.7
OTTAWA;26;10;11;5;25;8;5;3;.481;2.46;2.65;0.89;20.4;81.9;28.2;34.5;.333;.455;.333;.714;.250;.400;48.0
PHILADELPHIA;25;8;13;4;20;8;6;2;.400;2.64;3.08;0.88;23.5;74.4;30.5;32.2;.625;.176;.778;.833;.333;.308;51.5
PITTSBURGH;26;18;6;2;38;16;8;8;.731;3.19;2.27;1.42;29.4;85.6;30.5;30.0;.737;.571;.800;.867;.917;.500;49.7
SAN JOSE;27;13;10;4;30;11;5;6;.556;2.78;2.63;0.92;24.7;82.5;32.4;30.5;.692;.286;.800;.727;.375;.636;51.4
ST LOUIS;27;17;8;2;36;14;8;6;.667;2.70;2.26;1.10;22.7;79.3;31.9;26.9;.750;.455;.769;.900;.588;.714;52.8
TAMPA BAY;27;18;6;3;39;17;11;6;.722;3.56;2.44;1.47;23.2;80.7;29.6;27.3;.706;.600;.750;.929;.706;.556;50.0
TORONTO;25;13;9;3;29;13;9;4;.580;3.36;3.04;1.00;21.3;82.8;30.5;32.8;1.000;.200;.857;1.000;.625;.500;51.6
VANCOUVER;26;18;7;1;37;16;6;10;.712;3.08;2.62;1.02;20.7;84.9;31.3;28.2;.857;.500;.778;.917;.722;.625;48.8
WASHINGTON;25;11;10;4;26;10;4;6;.520;2.76;2.72;0.94;27.5;74.7;30.1;27.4;.833;.077;.750;.769;.333;.556;50.7
WINNIPEG;27;14;9;4;32;12;6;6;.593;2.18;2.15;1.03;11.6;85.2;30.4;27.9;.611;.333;.636;.750;.529;.500;48.2
