Team;GP;W;OT;P;ROW;HROW;RROW;P%;G/GP;5-5 F/A;PP%;PK%;S/GP;Sc 1%;Tr 1st%;OS%;OSB%;FO%
ANAHEIM;82;54;8;116;51;28;23;0.707;3.21;1.39;16;82.2;31.3;0.738;0.575;0.633;0.759;49.2
BOSTON;82;54;9;117;51;30;21;0.713;3.15;1.53;21.7;83.6;31.9;0.837;0.394;0.609;0.733;51.6
BUFFALO;82;21;10;52;14;9;5;0.317;1.83;0.59;14.1;81.4;26.3;0.29;0.235;0.214;0.231;46.8
CALGARY;82;35;7;77;28;14;14;0.47;2.46;0.8;15.7;81.7;26.8;0.697;0.245;0.324;0.535;46.2
CAROLINA;82;36;11;83;34;17;17;0.506;2.5;0.89;14.6;81.7;31.2;0.719;0.26;0.474;0.39;52.6
CHICAGO;82;46;15;107;40;24;16;0.652;3.18;1.27;19.5;81.4;33.1;0.791;0.308;0.552;0.583;52
COLORADO;82;52;8;112;47;23;24;0.683;2.99;1.12;19.8;80.7;29.5;0.822;0.405;0.5;0.761;49.5
COLUMBUS;82;43;7;93;38;22;16;0.567;2.76;1.06;19.3;82.1;29.6;0.68;0.281;0.529;0.522;51.6
DALLAS;82;40;11;91;36;21;15;0.555;2.82;1.04;15.9;81.4;31.7;0.651;0.308;0.5;0.452;50.1
DETROIT;82;39;15;93;34;14;20;0.567;2.65;1.03;17.7;83;30;0.585;0.366;0.5;0.444;50.8
EDMONTON;82;29;9;67;25;15;10;0.409;2.43;0.71;17;82.1;26.9;0.486;0.255;0.417;0.321;49
FLORIDA;82;29;8;66;21;11;10;0.402;2.29;0.83;10;76;29.9;0.567;0.231;0.389;0.318;48.3
LOS ANGELES;82;46;8;100;38;20;18;0.61;2.42;1.28;15.1;83.1;31.6;0.692;0.333;0.528;0.68;52.8
MINNESOTA;82;43;12;98;35;23;12;0.598;2.43;1.15;17.9;78.8;26.6;0.738;0.3;0.417;0.541;50.9
MONTREAL;82;46;8;100;40;23;17;0.61;2.55;0.99;17.2;85.1;28.4;0.822;0.243;0.607;0.52;49.6
NASHVILLE;82;38;12;88;36;18;18;0.537;2.61;0.88;19.2;80.2;29;0.75;0.239;0.421;0.538;53.1
NEW JERSEY;82;35;18;88;35;21;14;0.537;2.4;0.93;19.5;86.4;26.8;0.682;0.132;0.467;0.364;47
NY ISLANDERS;82;34;11;79;25;10;15;0.482;2.63;0.83;17.8;78.1;30.9;0.5;0.354;0.375;0.432;47.2
NY RANGERS;82;45;6;96;41;18;23;0.585;2.61;1.07;18.2;85.3;33.2;0.816;0.318;0.537;0.591;48.8
OTTAWA;82;37;14;88;30;15;15;0.537;2.79;0.95;18.4;80.9;32.8;0.65;0.262;0.387;0.5;51.2
PHILADELPHIA;82;42;10;94;39;24;15;0.573;2.84;0.96;19.7;84.8;30.4;0.744;0.302;0.564;0.476;50
PHOENIX;82;37;15;89;31;19;12;0.543;2.56;1;19.9;79;30.5;0.63;0.222;0.289;0.605;52
PITTSBURGH;82;51;7;109;44;25;19;0.665;2.95;1.05;23.4;85;29.9;0.841;0.368;0.614;0.629;51
SAN JOSE;82;51;9;111;41;24;17;0.677;2.92;1.17;17.2;84.9;34.8;0.766;0.429;0.636;0.609;52.8
ST LOUIS;82;52;7;111;43;24;19;0.677;2.92;1.22;19.8;85.7;29.3;0.837;0.333;0.617;0.697;51.9
TAMPA BAY;82;46;9;101;38;22;16;0.616;2.83;1.16;18.5;80.7;29.8;0.738;0.375;0.578;0.588;49.2
TORONTO;82;38;8;84;29;17;12;0.512;2.71;0.92;19.8;78.4;27.9;0.675;0.262;0.533;0.462;48.3
VANCOUVER;82;36;11;83;31;19;12;0.506;2.33;0.93;15.2;83.2;30.8;0.553;0.341;0.4;0.472;51.4
WASHINGTON;82;38;14;90;28;15;13;0.549;2.74;0.9;23.4;82;29.4;0.667;0.25;0.5;0.431;48.4
WINNIPEG;82;37;10;84;29;13;16;0.512;2.67;0.95;15.4;83.2;30.7;0.6;0.34;0.426;0.471;46.9
