Player;Team;Pos;GP;G;A;P;+/-;PIM;PPG;PPP;SHG;SHP;GW;OT;S;S%;TOI/GP;Shift/GP;FO%
Sidney Crosby;PIT;C;25;9;24;33;+6;24;4;15;0;0;1;0;71;12.7;19:31;24.1;50.0
Evgeni Malkin;PIT;C;25;12;18;30;-2;46;7;14;0;0;2;1;66;18.2;18:43;22.4;43.7
Patric Hornqvist;PIT;R;25;11;14;25;+8;8;4;11;0;0;2;0;87;12.6;18:03;23.0;0.0
Chris Kunitz;PIT;L;23;9;11;20;+9;8;5;9;0;0;3;0;53;17.0;18:20;23.3;33.3
Kris Letang;PIT;D;22;4;14;18;+1;14;1;11;0;0;0;0;70;5.7;25:03;27.7;0.0
Blake Comeau;PIT;L;24;8;7;15;+6;22;0;1;0;0;2;1;47;17.0;14:49;21.1;83.3
Brandon Sutter;PIT;C;25;6;5;11;+1;4;0;1;1;1;1;0;53;11.3;17:45;24.7;52.2
Pascal Dupuis;PIT;R;16;6;5;11;+2;4;2;3;0;1;1;0;44;13.6;16:38;23.4;100.0
Steve Downie;PIT;R;25;3;7;10;+2;83;1;3;0;0;0;0;35;8.6;12:51;18.4;33.3
Nick Spaling;PIT;C;25;3;5;8;+3;12;0;0;0;0;0;0;24;12.5;15:13;21.7;47.8
Christian Ehrhoff;PIT;D;25;1;7;8;+13;8;0;1;0;0;1;0;46;2.2;21:56;26.4;0.0
Olli Maatta;PIT;D;19;1;7;8;+0;10;0;1;0;0;0;0;24;4.2;20:31;25.7;0.0
Paul Martin;PIT;D;25;1;5;6;+8;10;0;0;0;0;0;0;20;5.0;22:03;27.2;0.0
Simon Despres;PIT;D;24;1;4;5;+4;40;0;0;0;0;0;0;25;4.0;14:13;19.2;0.0
Robert Bortuzzo;PIT;D;9;2;2;4;+3;16;0;0;0;0;0;0;12;16.7;14:19;21.2;0.0
Beau Bennett;PIT;R;7;1;2;3;-1;2;0;0;0;0;1;0;11;9.1;12:32;18.7;0.0
Craig Adams;PIT;R;25;1;1;2;-2;11;0;0;0;0;1;0;19;5.3;9:16;13.2;41.7
Rob Scuderi;PIT;D;25;0;2;2;+1;4;0;0;0;0;0;0;15;0.0;17:17;22.1;0.0
Marcel Goc;PIT;C;23;1;0;1;-3;2;0;0;0;0;0;0;18;5.6;11:17;16.3;54.9
Jayson Megna;PIT;C;6;0;1;1;+1;4;0;0;0;0;0;0;9;0.0;12:10;17.5;0.0
Andrew Ebbett;PIT;C;3;0;1;1;-1;0;0;0;0;0;0;0;0;0.0;9:19;13.7;33.3
Zach Sill;PIT;C;22;0;0;0;-1;17;0;0;0;0;0;0;10;0.0;7:14;10.5;0.0
Brian Dumoulin;PIT;D;1;0;0;0;+0;0;0;0;0;0;0;0;0;0.0;15:08;22.0;0.0
Scott Wilson;PIT;C;1;0;0;0;+0;0;0;0;0;0;0;0;0;0.0;4:21;7.0;0.0
