STATE;GPG;PPT
Alabama;;
Arizona;2.56;89
Arkansas;;
California;2.85;109
Colorado;2.99;112
Connecticut;;
Delaware;;
District of Columbia;2.74;90
Florida;2.56;84
Georgia;;
Idaho;;
Illinois;3.18;107
Indiana;;
Iowa;;
Kansas;;
Kentucky;;
Louisiana;;
Maine;;
Maryland;;
Massachusetts;3.15;117
Michigan;2.65;93
Minnesota;2.43;98
Mississippi;;
Missouri;2.92;111
Montana;;
Nebraska;;
Nevada;;
New Hampshire;;
New Jersey;2.40;88
New Mexico;;
New York;2.36;76
North Carolina;2.50;83
North Dakota;;
Ohio;2.76;93
Oklahoma;;
Oregon;;
Pennsylvania;2.90;102
Rhode Island;;
South Carolina;;
South Dakota;;
Tennessee;2.61;88
Texas;2.82;91
Utah;;
Vermont;;
Virginia;;
Washington;;
West Virginia;;
Wisconsin;;
Wyoming;;
