Poslovanje podjetij po: SKD DEJAVNOST, KOHEZIJSKA REGIJA, MERITVE , LETO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
 ; ;Prihodki od prodaje (1000 EUR); ; ; ; ;Plaèe (1000 EUR); ; ; ; ;Število oseb, ki delajo; ; ; ; 
 ; ;2008;2009;2010;2011;2012;2008;2009;2010;2011;2012;2008;2009;2010;2011;2012
B RUDARSTVO;;;;;;;;;;;;;;;;
 ;SLOVENIJA;307862;284309;293513;272986;261275;89295;83951;78687;66109;67734;3476;3251;2976;2491;2485
 ; Vzhodna Slovenija;219156;196941;190286;174957;164521;76954;72062;65660;52163;53436;2914;2704;2403;1881;1885
 ; Zahodna Slovenija;88706;87368;103227;98029;96754;12342;11889;13027;13946;14298;562;547;573;610;600
C PREDELOVALNE DEJAVNOSTI;;;;;;;;;;;;;;;;
 ;SLOVENIJA;25829148;20799801;22931877;24285454;23731617;3761192;3346871;3409231;3451978;3476473;231969;208214;197864;192678;189538
 ; Vzhodna Slovenija;15026594;12237725;13487823;14295251;13863470;2160737;1926812;1968382;1983103;1980881;137881;125327;118472;114556;111729
 ; Zahodna Slovenija;10802554;8562076;9444054;9990203;9868147;1600455;1420059;1440849;1468875;1495592;94088;82887;79392;78122;77809
D OSKRBA Z EL.ENERGIJO,PLINOM IN PARO;;;;;;;;;;;;;;;;
 ;SLOVENIJA;3580044;3627353;4034294;5304734;6591908;214381;217468;223771;229437;234185;7829;8022;8207;8437;8713
 ; Vzhodna Slovenija;1930316;1795395;1893580;2223719;2492535;116716;117472;122104;127473;129693;4155;4256;4429;4651;4833
 ; Zahodna Slovenija;1649728;1831958;2140714;3081015;4099373;97665;99996;101667;101964;104492;3674;3766;3778;3786;3880
E OSKR.Z VODO,RAV.Z ODPL.,ODP.,SAN.OKOLJA;;;;;;;;;;;;;;;;
 ;SLOVENIJA;882568;763945;1032381;1158395;1175671;173377;177259;183799;186687;190276;9101;9300;9414;9465;9614
 ; Vzhodna Slovenija;504021;414851;538284;606589;601405;93681;94595;97426;97228;96680;5037;5157;5198;5025;4950
 ; Zahodna Slovenija;378547;349094;494097;551806;574266;79696;82664;86373;89459;93596;4064;4143;4216;4440;4664
F GRADBENIŠTVO;;;;;;;;;;;;;;;;
 ;SLOVENIJA;8440145;6830707;6023567;5170966;4807130;1112645;1044860;951075;865012;764530;89773;86791;77903;68929;62172
 ; Vzhodna Slovenija;3826718;3018498;2597357;2388953;2394119;529476;499721;439134;409352;386034;42520;41468;37120;32880;30501
 ; Zahodna Slovenija;4613427;3812209;3426210;2782013;2413011;583168;545139;511941;455660;378496;47253;45323;40783;36049;31671
G TRGOVINA,VZDRŽ.IN POPRAVILA MOT.VOZIL;;;;;;;;;;;;;;;;
 ;SLOVENIJA;31609866;26634522;27332912;28807378;28911028;1855579;1849648;1875724;1890732;1833626;119805;119854;117863;116633;115173
 ; Vzhodna Slovenija;9402942;8281912;8421250;8757393;8498574;690374;682135;690854;692514;671444;51633;50913;49872;49282;48527
 ; Zahodna Slovenija;22206924;18352610;18911662;20049985;20412454;1165205;1167513;1184870;1198218;1162182;68172;68941;67991;67351;66646
H PROMET IN SKLADIŠÈENJE;;;;;;;;;;;;;;;;
 ;SLOVENIJA;4734420;4067552;4490937;4740895;4671623;843945;818190;812751;726735;691978;53937;52618;50831;45418;44453
 ; Vzhodna Slovenija;1867343;1642261;1807262;1825098;1771861;328481;315970;318151;268563;254233;23991;23354;22698;19683;19098
 ; Zahodna Slovenija;2867077;2425291;2683675;2915797;2899762;515464;502220;494600;458172;437745;29946;29264;28133;25735;25355
I GOSTINSTVO;;;;;;;;;;;;;;;;
 ;SLOVENIJA;1608924;1466450;1464127;1589620;1571067;358429;363217;367833;379826;368038;33784;34366;33838;33987;33583
 ; Vzhodna Slovenija;649457;644464;640509;676211;723369;156107;162010;163089;159704;171089;16656;16786;16330;16003;16584
 ; Zahodna Slovenija;959467;821986;823618;913409;847698;202322;201207;204744;220122;196949;17128;17580;17508;17984;16999
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJ.;;;;;;;;;;;;;;;;
 ;SLOVENIJA;3131522;2954306;2987720;2815004;2793129;521974;518195;531183;509309;512791;21582;22336;22520;22181;22929
 ; Vzhodna Slovenija;576480;559677;576308;589183;498818;101371;105767;109113;105853;95112;5503;5791;6013;6036;5775
 ; Zahodna Slovenija;2555041;2394629;2411412;2225821;2294311;420603;412428;422070;403456;417679;16079;16545;16507;16145;17154
L POSLOVANJE Z NEPREMIÈNINAMI;;;;;;;;;;;;;;;;
 ;SLOVENIJA;768622;638624;673507;599544;655837;74424;75341;75173;71977;70382;5010;5054;5069;4843;4953
 ; Vzhodna Slovenija;270996;249572;243390;241665;230542;27945;28118;27366;26063;25266;1862;1882;1943;1794;1824
 ; Zahodna Slovenija;497626;389052;430117;357879;425295;46480;47223;47807;45914;45116;3148;3172;3126;3049;3129
M STROKOVNE,ZNANSTVENE IN TEHNIÈNE DEJ.;;;;;;;;;;;;;;;;
 ;SLOVENIJA;3975401;3643989;3959344;3935415;3878214;707536;729418;761279;772574;752145;44561;46663;48653;49814;50810
 ; Vzhodna Slovenija;1120393;940318;1015485;1121875;1082585;216791;213389;229330;245470;231369;16263;16420;17516;18272;18362
 ; Zahodna Slovenija;2855008;2703671;2943859;2813540;2795629;490745;516029;531949;527104;520776;28298;30243;31137;31542;32448
N DRUGE RAZNOVRSTNE POSLOVNE DEJ.;;;;;;;;;;;;;;;;
 ;SLOVENIJA;1229899;1136410;1177431;1246852;1256024;317715;307075;328250;351374;339286;27008;26665;27890;28694;28234
 ; Vzhodna Slovenija;441711;413225;440738;450861;455307;138190;127196;136978;144601;133835;11686;11029;11569;11873;11146
 ; Zahodna Slovenija;788188;723185;736693;795991;800717;179526;179879;191272;206773;205451;15322;15636;16321;16821;17088
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;
